flask,Lake,strain,combo_temp,combo,genotype,Trophic,temp,Crash_Numeric,Crash,Phase,Growth,NeverPositive,Growth_Z,Keep,Growth_Z_by_timepoint,NegativePositiveGrowth
29,F19,F19-02,HNHG_24,HNHG,HG,HN,24,3,3,wk2,0.3852,n,1.3247,y,1.392618657,positive
29,F19,F19-02,HNHG_24,HNHG,HG,HN,24,3,3,wk3,-0.0457,n,-1.9435,y,-1.318124984,negative
29,F19,F19-02,HNHG_24,HNHG,HG,HN,24,3,3,wk4,-0.1108,n,-2.4373,y,1.397972058,negative
30,FA19,FA19-02,HNHG_24,HNHG,HG,HN,24,4,4,Exp,0.2868,n,0.1164,y,0.116549255,positive
30,FA19,FA19-02,HNHG_24,HNHG,HG,HN,24,4,4,wk2,0.2868,n,0.1164,y,0.116549255,positive
30,FA19,FA19-02,HNHG_24,HNHG,HG,HN,24,4,4,wk3,0.0122,n,-1.5656,y,1.085201916,positive
30,FA19,FA19-02,HNHG_24,HNHG,HG,HN,24,4,4,wk4,-0.0725,n,-2.0841,y,0.372977867,negative
31,FA19,FA19-05,HNHG_24,HNHG,HG,HN,24,4,4,Exp,0.4337,n,1.3019,y,1.30190007,positive
31,FA19,FA19-05,HNHG_24,HNHG,HG,HN,24,4,4,wk2,0.4337,n,1.3019,y,1.02851135,positive
31,FA19,FA19-05,HNHG_24,HNHG,HG,HN,24,4,4,wk3,0,n,-1.7509,y,-0.316436246,positive
31,FA19,FA19-05,HNHG_24,HNHG,HG,HN,24,4,4,wk4,-0.0776,n,-2.2968,y,-0.532192571,negative
32,FA19,FA19-06,HNHG_24,HNHG,HG,HN,24,4,4,Exp,0.191,n,0.8478,y,0.847513281,positive
32,FA19,FA19-06,HNHG_24,HNHG,HG,HN,24,4,4,wk2,0.363,n,2.3515,y,1.229257202,positive
32,FA19,FA19-06,HNHG_24,HNHG,HG,HN,24,4,4,wk3,0.051,n,-0.3766,y,0.232462572,positive
32,FA19,FA19-06,HNHG_24,HNHG,HG,HN,24,4,4,wk4,-0.0907,n,-1.6151,y,-0.799107328,negative
33,G19,G19-01,LNLG_24,LNLG,LG,LN,24,5,none,Exp,0.1105,n,0.1372,y,0.137477917,positive
33,G19,G19-01,LNLG_24,LNLG,LG,LN,24,5,none,wk2,0.1293,n,0.3314,y,0.347011515,positive
33,G19,G19-01,LNLG_24,LNLG,LG,LN,24,5,none,wk3,0.1076,n,0.1069,y,-0.202313702,positive
33,G19,G19-01,LNLG_24,LNLG,LG,LN,24,5,none,wk4,0.099,n,0.0187,y,0.735909347,positive
34,G19,G19-02,LNLG_24,LNLG,LG,LN,24,5,none,Exp,0.1679,n,0.8135,y,0.813953007,positive
34,G19,G19-02,LNLG_24,LNLG,LG,LN,24,5,none,wk2,0.1944,n,1.1422,y,0.689638584,positive
34,G19,G19-02,LNLG_24,LNLG,LG,LN,24,5,none,wk3,0.1949,n,1.1485,y,0.566005412,positive
34,G19,G19-02,LNLG_24,LNLG,LG,LN,24,5,none,wk4,0.1105,n,0.1042,y,0.391070038,positive
35,SM19,SM19-01,HNHG_24,HNHG,HG,HN,24,3,3,Exp,0.218,n,0.7479,y,0.747762898,positive
35,SM19,SM19-01,HNHG_24,HNHG,HG,HN,24,3,3,wk2,0.218,n,0.7479,y,0.405520108,positive
35,SM19,SM19-01,HNHG_24,HNHG,HG,HN,24,3,3,wk3,-0.0517,n,-0.5862,y,-0.621471216,negative
35,SM19,SM19-01,HNHG_24,HNHG,HG,HN,24,3,3,wk4,-0.0883,n,-0.7674,y,0.17783777,negative
36,SM19,SM19-03,HNLG_24,HNLG,LG,HN,24,5,none,Exp,0.1529,n,-0.5333,y,-0.533162713,positive
36,SM19,SM19-03,HNLG_24,HNLG,LG,HN,24,5,none,wk2,0.2887,n,0.1289,y,-0.223815708,positive
36,SM19,SM19-03,HNLG_24,HNLG,LG,HN,24,5,none,wk3,0.0984,n,-0.7989,y,0.148304683,positive
36,SM19,SM19-03,HNLG_24,HNLG,LG,HN,24,5,none,wk4,0.1138,n,-0.7234,y,0.860220569,positive
37,SM19,SM19-04,HNLG_24,HNLG,LG,HN,24,5,none,Exp,0.3606,n,0.9321,y,0.931948763,positive
37,SM19,SM19-04,HNLG_24,HNLG,LG,HN,24,5,none,wk2,0.2932,n,0.2765,y,0.27201346,positive
37,SM19,SM19-04,HNLG_24,HNLG,LG,HN,24,5,none,wk3,0.4155,n,1.4661,y,0.628968414,positive
37,SM19,SM19-04,HNLG_24,HNLG,LG,HN,24,5,none,wk4,0.014,n,-2.4373,y,0.418367688,positive
38,WH19,WH19-01,HNLG_24,HNLG,LG,HN,24,3,3,Exp,0.2557,n,0.2719,y,0.272441995,positive
38,WH19,WH19-01,HNLG_24,HNLG,LG,HN,24,3,3,wk2,0.2557,n,0.2719,y,-0.485361661,positive
38,WH19,WH19-01,HNLG_24,HNLG,LG,HN,24,3,3,wk3,-0.0394,n,-3.8714,y,-0.819949063,negative
38,WH19,WH19-01,HNLG_24,HNLG,LG,HN,24,3,3,wk4,0.0201,n,-3.0352,y,1.099436061,positive
39,WH19,WH19-02,HNHG_24,HNHG,HG,HN,24,4,4,Exp,0.2061,n,0.2776,y,0.27730023,positive
39,WH19,WH19-02,HNHG_24,HNHG,HG,HN,24,4,4,wk2,0.3004,n,2.8581,y,-0.084768252,positive
39,WH19,WH19-02,HNHG_24,HNHG,HG,HN,24,4,4,wk3,0.1293,n,-1.8238,y,0.587014674,positive
39,WH19,WH19-02,HNHG_24,HNHG,HG,HN,24,4,4,wk4,-0.0547,n,-6.8592,y,0.88090235,negative
40,WH19,WH19-04,HNHG_24,HNHG,HG,HN,24,4,4,Exp,0.2054,n,-0.1036,y,-0.104064703,positive
40,WH19,WH19-04,HNHG_24,HNHG,HG,HN,24,4,4,wk2,0.3096,n,2.3878,y,-0.120474763,positive
40,WH19,WH19-04,HNHG_24,HNHG,HG,HN,24,4,4,wk3,0.1206,n,-2.1322,y,0.949893759,positive
40,WH19,WH19-04,HNHG_24,HNHG,HG,HN,24,4,4,wk4,-0.0767,n,-6.8522,y,-0.433494777,negative
41,AR19,AR19-01,HNLG_28,HNLG,LG,HN,28,3,3,Exp,0.3279,n,-0.4953,y,-0.495368326,positive
41,AR19,AR19-01,HNLG_28,HNLG,LG,HN,28,3,3,wk2,0.3279,n,0.2778,y,0.277870895,positive
41,AR19,AR19-01,HNLG_28,HNLG,LG,HN,28,3,3,wk3,-0.014,n,-0.1947,y,-0.194479025,negative
41,AR19,AR19-01,HNLG_28,HNLG,LG,HN,28,3,3,wk4,0.0349,n,-0.2402,y,-0.240140449,positive
42,BU19,BU19-01,LNLG_28,LNLG,LG,LN,28,4,4,Exp,0.0829,n,0.0065,y,0.006465766,positive
42,BU19,BU19-01,LNLG_28,LNLG,LG,LN,28,4,4,wk2,0.1388,n,0.6351,y,0.40873319,positive
42,BU19,BU19-01,LNLG_28,LNLG,LG,LN,28,4,4,wk3,0.0374,n,-0.5054,y,-0.543154545,positive
42,BU19,BU19-01,LNLG_28,LNLG,LG,LN,28,4,4,wk4,-0.0478,n,-1.463,y,-0.809019737,negative
43,BU19,BU19-02,LNLG_28,LNLG,LG,LN,28,4,4,Exp,0.0778,n,-0.6708,y,-0.670778708,positive
43,BU19,BU19-02,LNLG_28,LNLG,LG,LN,28,4,4,wk2,0.0171,n,-0.846,y,-0.874700147,positive
43,BU19,BU19-02,LNLG_28,LNLG,LG,LN,28,4,4,wk3,0.1273,n,-0.5281,y,0.493480624,positive
43,BU19,BU19-02,LNLG_28,LNLG,LG,LN,28,4,4,wk4,-0.1297,n,-1.2697,y,-1.288970099,negative
44,BU19,BU19-04,LNLG_28,LNLG,LG,LN,28,3,3,Exp,0.205,n,0.522,y,0.523364306,positive
44,BU19,BU19-04,LNLG_28,LNLG,LG,LN,28,3,3,wk2,0.205,n,0.522,y,0.697289351,positive
44,BU19,BU19-04,LNLG_28,LNLG,LG,LN,28,3,3,wk3,-0.025,n,-6.9875,y,-1.073268086,negative
44,BU19,BU19-04,LNLG_28,LNLG,LG,LN,28,3,3,wk4,-0.071,n,-8.4914,y,0.353956425,negative
45,CH19,CH19-02,HNLG_28,HNLG,LG,HN,28,5,none,Exp,0.1123,n,-0.8192,y,-0.818976103,positive
45,CH19,CH19-02,HNLG_28,HNLG,LG,HN,28,5,none,wk2,0.2318,n,-0.2205,y,-0.271706684,positive
45,CH19,CH19-02,HNLG_28,HNLG,LG,HN,28,5,none,wk3,0.0471,n,-1.1454,y,-0.643636427,positive
45,CH19,CH19-02,HNLG_28,HNLG,LG,HN,28,5,none,wk4,0.1006,n,-0.8778,y,0.32068305,positive
46,CR19,CR19-01,LNHG_28,LNHG,HG,LN,28,5,none,Exp,0.2108,n,1.0055,n,1.005204344,positive
46,CR19,CR19-01,LNHG_28,LNHG,HG,LN,28,5,none,wk2,0.2827,n,2.4589,n,1.0758442,positive
46,CR19,CR19-01,LNHG_28,LNHG,HG,LN,28,5,none,wk3,0.196,n,0.7073,n,-0.18654892,positive
46,CR19,CR19-01,LNHG_28,LNHG,HG,LN,28,5,none,wk4,0.1716,n,0.2133,n,0.561562969,positive
47,CR19,CR19-05,LNLG_28,LNLG,LG,LN,28,4,4,Exp,0.2192,n,-0.0189,y,-0.017882061,positive
47,CR19,CR19-05,LNLG_28,LNLG,LG,LN,28,4,4,wk2,0.2948,n,2.0635,y,0.588626351,positive
47,CR19,CR19-05,LNLG_28,LNLG,LG,LN,28,4,4,wk3,0.1576,n,-1.7145,y,-0.939745213,positive
47,CR19,CR19-05,LNLG_28,LNLG,LG,LN,28,4,4,wk4,-0.0641,n,-7.8158,y,0.105133482,negative
48,CR19,CR19-06,LNLG_28,LNLG,LG,LN,28,5,none,Exp,0.1727,n,0.2914,y,0.291706051,positive
48,CR19,CR19-06,LNLG_28,LNLG,LG,LN,28,5,none,wk2,0.1394,n,-0.2999,y,1.024565807,positive
48,CR19,CR19-06,LNLG_28,LNLG,LG,LN,28,5,none,wk3,0.245,n,1.5747,y,0.156479356,positive
48,CR19,CR19-06,LNLG_28,LNLG,LG,LN,28,5,none,wk4,0.1046,n,-0.9168,y,0.35906123,positive
49,F19,F19-02,HNHG_28,HNHG,HG,HN,28,4,4,Exp,0.0686,n,-1.0761,y,-1.07604584,positive
49,F19,F19-02,HNHG_28,HNHG,HG,HN,28,4,4,wk2,0.1092,n,-0.7687,y,-0.943223029,positive
49,F19,F19-02,HNHG_28,HNHG,HG,HN,28,4,4,wk3,0.0356,n,-1.3264,y,1.091398596,positive
49,F19,F19-02,HNHG_28,HNHG,HG,HN,28,4,4,wk4,-0.3024,n,-3.8902,y,-0.973444022,negative
